sponsor,total_trials,completed,terminated,avg_enrollment,sponsor_category,completion_rate,termination_rate
Olivia Newton-John Cancer Research Institute,3,1,1,11.0,Academic,33.3,33.3
King Abdullah International Medical Research Center,3,3,0,200.0,Government and Public Health,100.0,0.0
Sinocelltech Ltd.,3,2,1,94.0,Other,66.7,33.3
"Jiangsu Simcere Pharmaceutical Co., Ltd.",3,2,1,51.0,Large Pharma,66.7,33.3
Contipro Pharma a.s.,3,3,0,55.0,Large Pharma,100.0,0.0
Barcelona Institute for Global Health,3,3,0,16094.0,Academic,100.0,0.0
Region Västerbotten,3,2,0,99.0,Government and Public Health,66.7,0.0
Jiangxi University of Traditional Chinese Medicine,3,2,1,219.0,Academic,66.7,33.3
Hepatopancreatobiliary Surgery Institute of Gansu Province,3,3,0,495.0,Academic,100.0,0.0
NImmune Biopharma,3,2,1,51.0,Large Pharma,66.7,33.3
Kantonsspital Aarau,3,1,1,8.0,Other,33.3,33.3
Institute for Clinical and Experimental Medicine,3,2,0,46.0,Academic,66.7,0.0
Universidade Federal de Sergipe,3,2,0,54.0,Academic,66.7,0.0
Allina Health System,3,2,0,23.0,Hospital and Health System,66.7,0.0
Copenhagen Academy for Medical Education and Simulation,3,3,0,75.0,Other,100.0,0.0
Bellicum Pharmaceuticals,3,0,1,62.0,Large Pharma,0.0,33.3
Clene Nanomedicine,3,2,1,64.0,Other,66.7,33.3
Muhammad Aamir Latif,3,3,0,105.0,Other,100.0,0.0
Seung-Jung Park,3,0,1,23.0,Other,0.0,33.3
Amicus Therapeutics,3,3,0,75.0,Biotech,100.0,0.0
Alexander Kolevzon,3,3,0,11.0,Other,100.0,0.0
Chinese Academy of Medical Sciences,3,3,0,90.0,Biotech,100.0,0.0
Chinese Academy of Sciences,3,3,0,61.0,Biotech,100.0,0.0
"Xalud Therapeutics, Inc.",3,1,1,10.0,Biotech,33.3,33.3
Nilgun Avci,3,3,0,99.0,Other,100.0,0.0
Jawaharlal Institute of Postgraduate Medical Education & Research,3,3,0,103.0,Academic,100.0,0.0
National Yang Ming Chiao Tung University Hospital,3,2,0,116.0,Academic,66.7,0.0
"Chinook Therapeutics, Inc.",3,1,2,48.0,Biotech,33.3,66.7
Nevsehir Haci Bektas Veli University,3,3,0,79.0,Academic,100.0,0.0
Mylan Pharmaceuticals Inc,3,3,0,359.0,Large Pharma,100.0,0.0
Chonbuk National University Hospital,3,3,0,63.0,Academic,100.0,0.0
"SPR Therapeutics, Inc.",3,2,1,39.0,Biotech,66.7,33.3
Nuvation Bio Inc.,3,1,0,246.0,Biotech,33.3,0.0
University of Agder,3,3,0,127.0,Academic,100.0,0.0
"SK Life Science, Inc.",3,3,0,221.0,Biotech,100.0,0.0
Paracelsus Medical University,3,2,0,50.0,Academic,66.7,0.0
"Zurex Pharma, Inc.",3,3,0,401.0,Large Pharma,100.0,0.0
"Janssen Pharmaceutica N.V., Belgium",3,2,1,20.0,Large Pharma,66.7,33.3
Chalmers University of Technology,3,3,0,564.0,Academic,100.0,0.0
University Vila Velha,3,2,1,80.0,Academic,66.7,33.3
"Ancora Heart, Inc.",3,2,0,21.0,Biotech,66.7,0.0
University of Americas,3,3,0,13.0,Academic,100.0,0.0
Sanko University,3,2,1,70.0,Academic,66.7,33.3
Ostfold Hospital Trust,3,2,0,114.0,Hospital and Health System,66.7,0.0
Cheerain HK Limited,3,3,0,88.0,Other,100.0,0.0
Pôle Saint Hélier,3,3,0,47.0,Other,100.0,0.0
University of Bedfordshire,3,3,0,27.0,Large Pharma,100.0,0.0
Ocugen,3,1,0,82.0,Other,33.3,0.0
"Kyowa Kirin, Inc.",3,3,0,61.0,Biotech,100.0,0.0
VHsquared Ltd.,3,3,0,59.0,Other,100.0,0.0
University of Bari,3,3,0,93.0,Academic,100.0,0.0
Chengdu University of Traditional Chinese Medicine,3,3,0,103.0,Academic,100.0,0.0
"Oncternal Therapeutics, Inc",3,1,1,60.0,Biotech,33.3,33.3
"Chengdu Zenitar Biomedical Technology Co., Ltd",3,3,0,31.0,Biotech,100.0,0.0
SetPoint Medical Corporation,3,1,0,90.0,Biotech,33.3,0.0
Hospital Universitario de Móstoles,3,2,0,160.0,Hospital and Health System,66.7,0.0
VA Pittsburgh Healthcare System,3,2,0,17.0,Hospital and Health System,66.7,0.0
Hospital Universiti Sains Malaysia,3,3,0,54.0,Hospital and Health System,100.0,0.0
Bilecik Seyh Edebali Universitesi,3,2,0,74.0,Academic,66.7,0.0
Servier,3,2,1,77.0,Other,66.7,33.3
Ospedale San Raffaele,3,2,1,12.0,Other,66.7,33.3
"K-Group Alpha, Inc., a wholly owned subsidiary of Zentalis Pharmaceuticals, Inc.",3,2,1,32.0,Large Pharma,66.7,33.3
University of Cagliari,3,3,0,97.0,Academic,100.0,0.0
"Children Hospital and Institute of Child Health, Lahore",3,3,0,151.0,Academic,100.0,0.0
Hospital Universitario 12 de Octubre,3,3,0,280.0,Hospital and Health System,100.0,0.0
"National Vaccine and Serum Institute, China",3,3,0,1363.0,Academic,100.0,0.0
BicycleTx Limited,3,0,0,272.0,Other,0.0,0.0
"Oncoimmune, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",3,1,1,18.0,Large Pharma,33.3,33.3
University Institute of Maia,3,3,0,68.0,Academic,100.0,0.0
"Institute of Mental Health, Singapore",3,3,0,51.0,Academic,100.0,0.0
Hospital General Universitario Gregorio Marañon,3,2,0,143.0,Hospital and Health System,66.7,0.0
Akesobio Australia Pty Ltd,3,2,1,58.0,Other,66.7,33.3
Purdue Pharma LP,3,1,1,33.0,Large Pharma,33.3,33.3
Chuncheon Sacred Heart Hospital,3,3,0,125.0,Hospital and Health System,100.0,0.0
Bahir Dar University,3,3,0,515.0,Academic,100.0,0.0
Vibrant Ltd.,3,3,0,185.0,Other,100.0,0.0
Sichuan University,3,2,0,34.0,Academic,66.7,0.0
Adaptimmune,3,1,1,13.0,Other,33.3,33.3
Newcastle University,3,3,0,31.0,Academic,100.0,0.0
"Samus Therapeutics, Inc.",3,0,1,4.0,Biotech,0.0,33.3
University of Chester,3,3,0,46.0,Academic,100.0,0.0
OmniSolutions Laboratory Holdings Limited,3,3,0,17.0,Other,100.0,0.0
Nutricia UK Ltd,3,3,0,30.0,Other,100.0,0.0
Valencia Technologies Corporation,3,3,0,65.0,Biotech,100.0,0.0
"Ministry of Public Health, Democratic Republic of the Congo",3,3,0,1311.0,Government and Public Health,100.0,0.0
Cingulate Therapeutics,3,3,0,32.0,Biotech,100.0,0.0
Regionshospital Nordjylland,3,3,0,106.0,Hospital and Health System,100.0,0.0
Kaleido Biosciences,3,2,1,20.0,Biotech,66.7,33.3
Sichuan Provincial People's Hospital,3,3,0,182.0,Hospital and Health System,100.0,0.0
Samsun University,3,3,0,77.0,Academic,100.0,0.0
City University of Hong Kong,3,3,0,1728.0,Academic,100.0,0.0
Xiyuan Hospital of China Academy of Chinese Medical Sciences,3,3,0,58.0,Biotech,100.0,0.0
University Rovira i Virgili,3,3,0,59.0,Academic,100.0,0.0
"BioAge Labs, Inc.",3,0,1,65.0,Biotech,0.0,33.3
Amylyx Pharmaceuticals Inc.,3,3,0,86.0,Large Pharma,100.0,0.0
Vaginal Biome Science,3,3,0,24.0,Other,100.0,0.0
"Real Prevention, LLC",3,3,0,355.0,Other,100.0,0.0
"Cerus Endovascular, Inc.",3,1,1,103.0,Biotech,33.3,33.3
VA Ann Arbor Healthcare System,3,3,0,40.0,Hospital and Health System,100.0,0.0
Sichuan Cancer Hospital and Research Institute,3,2,0,42.0,Academic,66.7,0.0
University Of Perugia,3,2,1,236.0,Academic,66.7,33.3
"OncoMed Pharmaceuticals, Inc.",3,2,1,90.0,Large Pharma,66.7,33.3
University of Central Lancashire,3,2,0,22.0,Large Pharma,66.7,0.0
RTI Surgical,3,3,0,54.0,Other,100.0,0.0
Sanoculis Ltd,3,3,0,81.0,Other,100.0,0.0
Romark Laboratories L.C.,3,3,0,1398.0,Biotech,100.0,0.0
Hospital Miguel Servet,3,3,0,111.0,Hospital and Health System,100.0,0.0
Bagcilar Training and Research Hospital,3,3,0,40.0,Hospital and Health System,100.0,0.0
BerGenBio ASA,3,1,2,53.0,Other,33.3,66.7
Bio Sidus SA,3,3,0,30.0,Other,100.0,0.0
George Medicines PTY Limited,2,2,0,1070.0,Other,100.0,0.0
Instituto Materno Infantil Prof. Fernando Figueira,2,1,1,321.0,Hospital and Health System,50.0,50.0
Lallemand Pharma AG,2,2,0,170.0,Large Pharma,100.0,0.0
Rafik Batroussy,2,0,0,0.0,Other,0.0,0.0
Khondrion BV,2,2,0,26.0,Other,100.0,0.0
"Radius Pharmaceuticals, Inc.",2,0,2,11.0,Large Pharma,0.0,100.0
Radiometer Medical ApS,2,2,0,442.0,Other,100.0,0.0
Ghurki Trust and Teaching Hospital,2,2,0,50.0,Hospital and Health System,100.0,0.0
Instituto Ecuatoriano de Enfermedades Digestivas,2,2,0,112.0,Hospital and Health System,100.0,0.0
"ReveraGen BioPharma, Inc.",2,2,0,84.0,Large Pharma,100.0,0.0
"GeneOne Life Science, Inc.",2,1,1,178.0,Biotech,50.0,50.0
Larena SAS,2,2,0,135.0,Other,100.0,0.0
Intellia Therapeutics,2,0,1,3.0,Biotech,0.0,50.0
Lancashire Teaching Hospitals NHS Foundation Trust,2,2,0,10.0,Large Pharma,100.0,0.0
Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus,2,2,0,8.0,Biotech,100.0,0.0
Stockholm University,2,2,0,186.0,Academic,100.0,0.0
German Institute of Human Nutrition,2,2,0,42.0,Academic,100.0,0.0
"Genovate Biotechnology Co., Ltd.,",2,2,0,34.0,Biotech,100.0,0.0
Instituto Sexológico Murciano,2,2,0,38.0,Hospital and Health System,100.0,0.0
Insud Pharma,2,1,0,795.0,Large Pharma,50.0,0.0
Semnan University of Medical Sciences,2,1,1,243.0,Biotech,50.0,50.0
Institute of Mountain Emergency Medicine,2,2,0,16.0,Academic,100.0,0.0
Probi AB,2,2,0,85.0,Other,100.0,0.0
Lancaster General Hospital,2,1,1,139.0,Hospital and Health System,50.0,50.0
Seppic,2,2,0,76.0,Other,100.0,0.0
"Instituto Valenciano de Infertilidad, IVI VALENCIA",2,2,0,110.0,Hospital and Health System,100.0,0.0
Khoo Teck Puat Hospital,2,2,0,30.0,Hospital and Health System,100.0,0.0
Seoul St. Mary's Hospital,2,2,0,47.0,Hospital and Health System,100.0,0.0
Instituto de Ciencia y Tecnología de Alimentos y Nutrición,2,1,0,94.0,Hospital and Health System,50.0,0.0
Laminate Medical Technologies,2,2,0,112.0,Other,100.0,0.0
Germans Trias i Pujol Hospital,2,2,0,36.0,Hospital and Health System,100.0,0.0
Instituto de Investigacion Sanitaria La Fe,2,0,1,15.0,Hospital and Health System,0.0,50.0
Instituto de Oftalmología Fundación Conde de Valenciana,2,2,0,36.0,Hospital and Health System,100.0,0.0
Selmin Kose,2,2,0,58.0,Other,100.0,0.0
Madigan Army Medical Center,2,1,1,72.0,Hospital and Health System,50.0,50.0
Gesynta Pharma AB,2,2,0,43.0,Large Pharma,100.0,0.0
"Institute of Nutrition, Slovenia (Nutris)",2,2,0,58.0,Academic,100.0,0.0
"Institute of Vaccines and Medical Biologicals, Vietnam",2,2,0,504.0,Academic,100.0,0.0
Rady Pediatric Genomics & Systems Medicine Institute,2,2,0,80.0,Biotech,100.0,0.0
Maged Basha,2,2,0,53.0,Other,100.0,0.0
Stratpharma AG,2,1,1,34.0,Large Pharma,50.0,50.0
"Institute of Technology, Sligo",2,2,0,18.0,Academic,100.0,0.0
"Instituto Nacional de Salud Publica, Mexico",2,2,0,1610.0,Hospital and Health System,100.0,0.0
Steven E. Coutre,2,1,1,12.0,Other,50.0,50.0
Stryker Orthopaedics,2,0,0,192.0,Other,0.0,0.0
General Hospital Groeninge,2,2,0,158.0,Hospital and Health System,100.0,0.0
Integrative Research Laboratories AB,2,2,0,84.0,Biotech,100.0,0.0
"Proclara Biosciences, Inc.",2,1,1,46.0,Biotech,50.0,50.0
Sehat Medical Complex,2,2,0,49.0,Other,100.0,0.0
"SK Plasma Co., Ltd.",2,2,0,36.0,Biotech,100.0,0.0
Sehit Prof. Dr. Ilhan Varank Sancaktepe Training and Research Hospital,2,2,0,247.0,Hospital and Health System,100.0,0.0
General Mills,2,2,0,126.0,Other,100.0,0.0
"Senhwa Biosciences, Inc.",2,2,0,22.0,Biotech,100.0,0.0
Landseed Hospital,2,2,0,130.0,Hospital and Health System,100.0,0.0
German CLL Study Group,2,1,0,54.0,Other,50.0,0.0
Instituto Portugues da Face,2,2,0,18.0,Hospital and Health System,100.0,0.0
Seikagaku Corporation,2,2,0,622.0,Biotech,100.0,0.0
Procare Health Iberia S.L.,2,2,0,244.0,Other,100.0,0.0
Geriatric Education and Research Institute,2,2,0,78.0,Academic,100.0,0.0
Rocket Pharmaceuticals Inc.,2,0,0,2.0,Large Pharma,0.0,0.0
"Intensity Therapeutics, Inc.",2,1,0,222.0,Biotech,50.0,0.0
Fuzhou General Hospital,2,1,1,26.0,Hospital and Health System,50.0,50.0
Kyowa Kirin Pharmaceutical Development Ltd,2,2,0,26.0,Large Pharma,100.0,0.0
"Suzhou Alphamab Co., Ltd.",2,1,0,50.0,Biotech,50.0,0.0
"Jasper Therapeutics, Inc.",2,0,1,56.0,Biotech,0.0,50.0
"ReCor Medical, Inc.",2,0,0,262.0,Biotech,0.0,0.0
Javier Garcia Campayo,2,2,0,201.0,Other,100.0,0.0
Suzhou Hengruihongyuan Medical Technology Co. LTD,2,1,1,118.0,Large Pharma,50.0,50.0
"ReGenTree, LLC",2,2,0,650.0,Other,100.0,0.0
Jean Edward,2,2,0,78.0,Other,100.0,0.0
Sana Biotechnology,2,0,0,12.0,Biotech,0.0,0.0
Kyoto Breast Cancer Research Network,2,1,1,71.0,Other,50.0,50.0
Jeannette Brodbeck,2,2,0,124.0,Other,100.0,0.0
San Jose State University,2,1,0,28.0,Academic,50.0,0.0
Kymberly Young,2,2,0,45.0,Other,100.0,0.0
San Francisco Department of Public Health,2,2,0,142.0,Government and Public Health,100.0,0.0
Nova Laboratories Limited,2,2,0,26.0,Biotech,100.0,0.0
Kosin University,2,2,0,23.0,Academic,100.0,0.0
San Antonio Military Medical Center,2,2,0,26.0,Hospital and Health System,100.0,0.0
Sanford Health,2,0,1,26.0,Other,0.0,50.0
Jaseng Hospital of Korean Medicine,2,2,0,25.0,Hospital and Health System,100.0,0.0
Kyung Hee University Hospital at Gangdong,2,2,0,105.0,Academic,100.0,0.0
Rehab Werida,2,2,0,65.0,Other,100.0,0.0
"Manhattan Physical Medicine and Rehabilitation, LLP",2,2,0,149.0,Other,100.0,0.0
John Fowler,2,1,0,20.0,Other,50.0,0.0
Jamie Studts,2,2,0,149.0,Other,100.0,0.0
SPH-BIOCAD (HK) Limited,2,2,0,158.0,Other,100.0,0.0
"GID BIO, Inc.",2,0,0,57.0,Biotech,0.0,0.0
"GI Windows, Inc.",2,1,0,19.0,Biotech,50.0,0.0
"Sutro Biopharma, Inc.",2,1,1,97.0,Large Pharma,50.0,50.0
Sanliurfa Mehmet Akif Inan Education and Research Hospital,2,2,0,299.0,Hospital and Health System,100.0,0.0
Sangath,2,2,0,556.0,Other,100.0,0.0
"Revolution Medicines, Inc.",2,1,0,306.0,Biotech,50.0,0.0
Japan Breast Cancer Research Group,2,2,0,336.0,Other,100.0,0.0
Kyunghee University,2,2,0,50.0,Academic,100.0,0.0
Saniona,2,2,0,28.0,Other,100.0,0.0
Regis University,2,2,0,1354.0,Academic,100.0,0.0
GC Cell Corporation,2,2,0,48.0,Biotech,100.0,0.0
Kyungdong University,2,2,0,60.0,Academic,100.0,0.0
Fytexia,2,2,0,44.0,Other,100.0,0.0
Samsun Education and Research Hospital,2,2,0,66.0,Hospital and Health System,100.0,0.0
James Varani,2,2,0,34.0,Other,100.0,0.0
"Kowa Company, Ltd.",2,2,0,206.0,Other,100.0,0.0
Fundación Pública Andaluza para la Investigación de Málaga en Biomedicina y Salud,2,2,0,20.0,Biotech,100.0,0.0
"Rhodes Pharmaceuticals, L.P.",2,2,0,25.0,Large Pharma,100.0,0.0
Saint George Hospital,2,2,0,60.0,Hospital and Health System,100.0,0.0
"Jiangsu Rec-Biotechnology Co., Ltd.",2,2,0,74.0,Biotech,100.0,0.0
Fundación Pública Andaluza para la Investigación Biomédica Andalucía Oriental,2,2,0,34.0,Other,100.0,0.0
Fundación Pública Andaluza Progreso y Salud,2,2,0,118.0,Other,100.0,0.0
"Jiangsu vcare pharmaceutical technology co., LTD",2,2,0,115.0,Large Pharma,100.0,0.0
Region Västmanland,2,2,0,55.0,Government and Public Health,100.0,0.0
Prilenia,2,0,2,136.0,Other,0.0,100.0
Sahiwal medical college sahiwal,2,2,0,75.0,Academic,100.0,0.0
Fundación Instituto de Estudios de Ciencias de la Salud de Castilla y León,2,2,0,70.0,Hospital and Health System,100.0,0.0
Joanneum Research Forschungsgesellschaft mbH,2,2,0,24.0,Other,100.0,0.0
Sage Therapeutics,2,1,0,73.0,Biotech,50.0,0.0
Krankenhaus Nordwest,2,1,0,98.0,Other,50.0,0.0
Jinnah Sindh Medical University,2,2,0,60.0,Academic,100.0,0.0
Sacide Duman,2,2,0,24.0,Other,100.0,0.0
"Kowloon Hospital, Hong Kong",2,2,0,14.0,Hospital and Health System,100.0,0.0
Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,2,1,1,60.0,Other,50.0,50.0
Jiangsu Gensciences lnc.,2,2,0,26.0,Biotech,100.0,0.0
Fundación Universidad Católica de Valencia San Vicente Mártir,2,2,0,47.0,Academic,100.0,0.0
Jerry R. Mendell,2,2,0,2.0,Other,100.0,0.0
Sameh Fathy,2,2,0,80.0,Other,100.0,0.0
Sam Houston State University,2,1,1,175.0,Academic,50.0,50.0
"Jenny Tong, MD, MPH",2,1,0,40.0,Other,50.0,0.0
"Jens D Lundgren, MD",2,2,0,3812.0,Other,100.0,0.0
Manuela Eicher,2,2,0,86.0,Other,100.0,0.0
Jens Rikardt Andersen,2,1,0,20.0,Other,50.0,0.0
Fundação Educacional Serra dos Órgãos,2,2,0,227.0,Other,100.0,0.0
Regen Lab SA,2,2,0,50.0,Other,100.0,0.0
Swansea Bay University Health Board,2,2,0,32.0,Academic,100.0,0.0
Regend Therapeutics,2,2,0,18.0,Biotech,100.0,0.0
"Sabine Mueller, MD, PhD",2,2,0,20.0,Other,100.0,0.0
Kronos Bio,2,0,2,75.0,Other,0.0,100.0
"Prim. Prof. Dr. Oliver Findl, MBA",2,2,0,54.0,Other,100.0,0.0
Mapi Pharma Ltd.,2,1,1,523.0,Large Pharma,50.0,50.0
Saint Savvas Anticancer Hospital,2,1,0,52.0,Hospital and Health System,50.0,0.0
Fundación de investigación HM,2,2,0,30.0,Other,100.0,0.0
"Principia Biopharma, a Sanofi Company",2,1,1,80.0,Large Pharma,50.0,50.0
"Susanna Naggie, MD",2,2,0,6144.0,Other,100.0,0.0
"Seelos Therapeutics, Inc.",2,1,0,82.0,Biotech,50.0,0.0
"Korea Otsuka Pharmaceutical Co., Ltd.",2,2,0,71.0,Large Pharma,100.0,0.0
Scripps Translational Science Institute,2,1,1,3084.0,Academic,50.0,50.0
Iraqi Board of medical specialties,2,2,0,35.0,Other,100.0,0.0
Sciwind Biosciences APAC CO Pty. Ltd.,2,1,0,103.0,Biotech,50.0,0.0
Scitech Produtos Medicos SA,2,2,0,48.0,Other,100.0,0.0
Scion NeuroStim,2,1,1,116.0,Other,50.0,50.0
Laboratorios Poen,2,2,0,100.0,Other,100.0,0.0
Sciensano,2,2,0,572.0,Other,100.0,0.0
"Ironwood Pharmaceuticals, Inc.",2,2,0,274.0,Large Pharma,100.0,0.0
Garvan Institute of Medical Research,2,2,0,85.0,Academic,100.0,0.0
Science and Research Centre Koper,2,2,0,22.0,Other,100.0,0.0
SMG-SNU Boramae Medical Center,2,2,0,39.0,Hospital and Health System,100.0,0.0
Sciema UG,2,2,0,46.0,Other,100.0,0.0
SciVision Biotech Inc.,2,2,0,104.0,Biotech,100.0,0.0
Sunovion Respiratory Development Inc.,2,2,0,336.0,Biotech,100.0,0.0
"Laboratorio Avi-Mex, S.A. de C.V.",2,2,0,2112.0,Other,100.0,0.0
Gamida Cell ltd,2,0,2,7.0,Other,0.0,100.0
Isparta Military Hospital,2,2,0,70.0,Hospital and Health System,100.0,0.0
Scuola Superiore di Studi Universitari e di Perfezionamento Sant'Anna,2,2,0,17.0,Other,100.0,0.0
Rajaie Cardiovascular Medical and Research Center,2,1,1,320.0,Other,50.0,50.0
Invicro,2,2,0,72.0,Other,100.0,0.0
SecuraBio,2,2,0,88.0,Other,100.0,0.0
GenMont Biotech Incorporation,2,1,0,10.0,Biotech,50.0,0.0
Intercept Pharmaceuticals,2,1,1,1280.0,Large Pharma,50.0,50.0
"Gelesis, Inc.",2,2,0,18.0,Biotech,100.0,0.0
Geistlich Pharma AG,2,1,0,64.0,Large Pharma,50.0,0.0
International Food Policy Research Institute,2,2,0,3108.0,Academic,100.0,0.0
International Islamic University Malaysia,2,1,0,82.0,Academic,50.0,0.0
"International Islamic University, Islamabad",2,2,0,88.0,Academic,100.0,0.0
Lakehead University,2,2,0,106.0,Academic,100.0,0.0
"Gaylord Hospital, Inc",2,2,0,35.0,Hospital and Health System,100.0,0.0
International Piezosurgery Academy,2,2,0,64.0,Government and Public Health,100.0,0.0
Lake Erie College of Osteopathic Medicine,2,2,0,74.0,Academic,100.0,0.0
Second Xiangya Hospital of Central South University,2,2,0,1178.0,Academic,100.0,0.0
Second Affiliated Hospital of Soochow University,2,2,0,102.0,Academic,100.0,0.0
Inventiva Pharma,2,1,0,521.0,Large Pharma,50.0,0.0
Lacer S.A.,2,2,0,170.0,Other,100.0,0.0
Inversago Pharma Inc.,2,2,0,38.0,Large Pharma,100.0,0.0
"Schneider Children's Medical Center, Israel",2,2,0,76.0,Hospital and Health System,100.0,0.0
Laboratoires Innothera,2,2,0,30.0,Other,100.0,0.0
"Priscilla Hsue, MD",2,2,0,38.0,Other,100.0,0.0
John Paul II University in Biała Podlaska,2,2,0,85.0,Academic,100.0,0.0
"J3 Bioscience, Inc.",2,2,0,124.0,Biotech,100.0,0.0
JAMK University Of Applied Sciences,2,1,0,108.0,Biotech,50.0,0.0
Major Extremity Trauma Research Consortium,2,2,0,426.0,Other,100.0,0.0
"JHM BioPharma (Tonghua) Co. , Ltd.",2,2,0,137.0,Large Pharma,100.0,0.0
LG Life Sciences,2,2,0,132.0,Biotech,100.0,0.0
"LENZ Therapeutics, Inc",2,2,0,196.0,Biotech,100.0,0.0
LB Pharmaceuticals Inc.,2,2,0,40.0,Large Pharma,100.0,0.0
"SurModics, Inc.",2,2,0,24.0,Biotech,100.0,0.0
Sara Botros,2,2,0,30.0,Other,100.0,0.0
Ratika Parkash,2,1,0,438.0,Other,50.0,0.0
Sao Jose do Rio Preto Medical School,2,2,0,146.0,Other,100.0,0.0
"Sanwa Kagaku Kenkyusho Co., Ltd.",2,2,0,32.0,Biotech,100.0,0.0
Gabi SmartCare,2,2,0,18.0,Other,100.0,0.0
Santhera Pharmaceuticals,2,2,0,114.0,Large Pharma,100.0,0.0
"Jacqueline Garcia, MD",2,0,0,59.0,Other,0.0,0.0
Malaysia Palm Oil Board,2,2,0,57.0,Other,100.0,0.0
"Santalis Pharmaceuticals, Inc.",2,1,0,6.0,Large Pharma,50.0,0.0
J L Marsh,2,2,0,51.0,Other,100.0,0.0
Gainesville Eye Associates,2,2,0,35.0,Other,100.0,0.0
Izmir Tinaztepe University,2,2,0,80.0,Academic,100.0,0.0
Majmaah University,2,2,0,79.0,Academic,100.0,0.0
"SNLD, Ltd.",2,2,0,42.0,Other,100.0,0.0
Scandinavian Critical Care Trials Group,2,2,0,576.0,Other,100.0,0.0
Scale Media Inc,2,1,0,50.0,Other,50.0,0.0
Istituto per la Ricerca e l'Innovazione Biomedica,2,2,0,15.0,Biotech,100.0,0.0
Save the Children,2,2,0,2063.0,Other,100.0,0.0
Italian Sarcoma Group,2,0,1,4.0,Other,0.0,50.0
"Macquarie University, Australia",2,1,1,14.0,Academic,50.0,50.0
Saudi German Hospital - Madinah,2,2,0,207.0,Hospital and Health System,100.0,0.0
Rapid Medical,2,1,0,164.0,Other,50.0,0.0
Galectin Therapeutics Inc.,2,1,1,198.0,Biotech,50.0,50.0
"KeraNetics, LLC",2,1,1,18.0,Other,50.0,50.0
Ithaca College,2,1,1,89.0,Academic,50.0,50.0
"Satsuma Pharmaceuticals, Inc.",2,2,0,41.0,Large Pharma,100.0,0.0
"LTN PHARMACEUTICALS, INC.",2,1,1,480.0,Large Pharma,50.0,50.0
Ixchelsis Limited,2,2,0,132.0,Other,100.0,0.0
Raphael Heinzer,2,2,0,12.0,Other,100.0,0.0
Savara Inc.,2,1,1,28.0,Biotech,50.0,50.0
Kodiak Sciences Inc,2,0,2,187.0,Biotech,0.0,100.0
"Gihan M Abuelniel ,PhD",2,2,0,32.0,Other,100.0,0.0
Hospital Virgen de la Salud,2,2,0,328.0,Hospital and Health System,100.0,0.0
Luminopia,2,2,0,100.0,Other,100.0,0.0
"Hospital da Luz, Portugal",2,2,0,17.0,Hospital and Health System,100.0,0.0
"Prometheus Biosciences, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",2,2,0,137.0,Large Pharma,100.0,0.0
Hallym University Kangnam Sacred Heart Hospital,2,2,0,95.0,Academic,100.0,0.0
Hallym University Dongtan Sacred Heart Hospital,2,0,0,90.0,Academic,0.0,0.0
"Lumos Labs, Inc.",2,1,0,212.0,Biotech,50.0,0.0
Shifa Tameer-e-Millat University,2,2,0,323.0,Academic,100.0,0.0
"Promentis Pharmaceuticals, Inc.",2,2,0,81.0,Large Pharma,100.0,0.0
Junyan Zhao,2,2,0,205.0,Other,100.0,0.0
Hospital de Granollers,2,2,0,16270.0,Hospital and Health System,100.0,0.0
Rovi Pharmaceuticals Laboratories,2,2,0,260.0,Large Pharma,100.0,0.0
Hospital del Rio Hortega,2,2,0,52.0,Hospital and Health System,100.0,0.0
"Rowpar Pharmaceuticals, Inc.",2,2,0,100.0,Large Pharma,100.0,0.0
"Hospital of the Ministry of Interior, Kielce, Poland",2,2,0,116.0,Hospital and Health System,100.0,0.0
Howard University,2,2,0,96.0,Academic,100.0,0.0
"LigaChem Biosciences, Inc.",2,2,0,78.0,Biotech,100.0,0.0
Sheppard Pratt Health System,2,1,0,50.0,Hospital and Health System,50.0,0.0
"Shepherd Center, Atlanta GA",2,2,0,202.0,Other,100.0,0.0
Huahui Health,2,2,0,62.0,Other,100.0,0.0
Southern California University of Health Sciences,2,2,0,10.0,Biotech,100.0,0.0
Southern College of Optometry,2,2,0,48.0,Academic,100.0,0.0
"Juul Labs, Inc.",2,2,0,161.0,Biotech,100.0,0.0
